,trial,function,noise,init_gamma,gamma,scorer,value,mi
182,1,line,0.0011352775264921833,0.5,0.12210265472743262,hsic,0.0003842735439589236,5.180124931764317
183,1,line,0.0011352775264921833,0.5,0.1011794823862579,hsic,0.0002671169376863845,5.180124931764317
184,1,line,0.0011352775264921833,0.5,0.08384164684055041,hsic,0.000185295847502295,5.180124931764317
185,1,line,0.0011352775264921833,0.5,0.06947477471865694,hsic,0.00012831633477042884,5.180124931764317
186,1,line,0.0011352775264921833,0.5,0.05756976996632241,hsic,8.873091226175748e-05,5.180124931764317
187,1,line,0.0011352775264921833,0.5,0.04770477381749972,hsic,6.128428455492741e-05,5.180124931764317
188,1,line,0.0011352775264921833,0.5,0.039530216054538506,hsic,4.2285526228323685e-05,5.180124931764317
189,1,line,0.0011352775264921833,0.5,0.03275642784297758,hsic,2.9152488295846768e-05,5.180124931764317
190,1,line,0.0011352775264921833,0.5,0.027143377196619328,hsic,2.0084521400596184e-05,5.180124931764317
191,1,line,0.0011352775264921833,0.5,0.022492163344847247,hsic,1.3829288912470805e-05,5.180124931764317
192,1,line,0.0011352775264921833,0.5,0.01863796860157471,hsic,9.517716414733996e-06,5.180124931764317
193,1,line,0.0011352775264921833,0.5,0.01544421798238741,hsic,6.547796502550002e-06,5.180124931764317
194,1,line,0.0011352775264921833,0.5,0.012797739613497689,hsic,4.50314707510009e-06,5.180124931764317
195,1,line,0.0011352775264921833,0.5,0.010604754439600964,hsic,3.0961340421206754e-06,5.180124931764317
196,1,line,0.0011352775264921833,0.5,0.008787553124273964,hsic,2.12826678393471e-06,5.180124931764317
197,1,line,0.0011352775264921833,0.5,0.007281742387506222,hsic,1.4626879637087786e-06,5.180124931764317
198,1,line,0.0011352775264921833,0.5,0.006033963203196644,hsic,1.005102619641685e-06,5.180124931764317
199,1,line,0.0011352775264921833,0.5,0.005,hsic,6.905794595374226e-07,5.180124931764317
200,1,line,0.0011352775264921833,0.5,49.99999999999999,tka,0.9999389963409154,5.180124931764317
201,1,line,0.0011352775264921833,0.5,41.432138642734216,tka,0.9999498031873453,5.180124931764317
202,1,line,0.0011352775264921833,0.5,34.33244225021501,tka,0.9999587288331746,5.180124931764317
203,1,line,0.0011352775264921833,0.5,28.44933014509148,tka,0.9999660986676455,5.180124931764317
204,1,line,0.0011352775264921833,0.5,23.57433181728697,tka,0.999972181688299,5.180124931764317
205,1,line,0.0011352775264921833,0.5,19.534699685273083,tka,0.9999772003488623,5.180124931764317
206,1,line,0.0011352775264921833,0.5,16.187287714088217,tka,0.9999813388458436,5.180124931764317
207,1,line,0.0011352775264921833,0.5,13.41347897639863,tka,0.9999847499165776,5.180124931764317
208,1,line,0.0011352775264921833,0.5,11.114982412630976,tka,0.999987560277349,5.180124931764317
209,1,line,0.0011352775264921833,0.5,9.210349846633582,tka,0.9999898749482773,5.180124931764317
210,1,line,0.0011352775264921833,0.5,7.632089835876167,tka,0.9999917807829134,5.180124931764317
211,1,line,0.0011352775264921833,0.5,6.324276084276483,tka,0.9999933494729804,5.180124931764317
212,1,line,0.0011352775264921833,0.5,5.240565670773429,tka,0.9999946401503762,5.180124931764317
213,1,line,0.0011352775264921833,0.5,4.342556868756765,tka,0.9999957015612385,5.180124931764317
214,1,line,0.0011352775264921833,0.5,3.5984283650057605,tka,0.9999965737530268,5.180124931764317
215,1,line,0.0011352775264921833,0.5,2.981811658297323,tka,0.9999972893373141,5.180124931764317
216,1,line,0.0011352775264921833,0.5,2.470856680661918,tka,0.9999978745637826,5.180124931764317
217,1,line,0.0011352775264921833,0.5,2.047457531190213,tka,0.9999983504633475,5.180124931764317
218,1,line,0.0011352775264921833,0.5,1.696610885947665,tka,0.9999987341179669,5.180124931764317
219,1,line,0.0011352775264921833,0.5,1.4058843489871153,tka,0.9999990398758568,5.180124931764317
220,1,line,0.0011352775264921833,0.5,1.1649759052576867,tka,0.999999280268668,5.180124931764317
221,1,line,0.0011352775264921833,0.5,0.9653488644416254,tka,0.9999994665185759,5.180124931764317
222,1,line,0.0011352775264921833,0.5,0.7999293598030295,tka,0.9999996086992473,5.180124931764317
223,1,line,0.0011352775264921833,0.5,0.6628556827950548,tka,0.9999997157074016,5.180124931764317
224,1,line,0.0011352775264921833,0.5,0.5492705709937792,tka,0.9999997951946046,5.180124931764317
225,1,line,0.0011352775264921833,0.5,0.4551490889957608,tka,0.9999998535475876,5.180124931764317
226,1,line,0.0011352775264921833,0.5,0.3771560031677311,tka,0.9999998959441434,5.180124931764317
227,1,line,0.0011352775264921833,0.5,0.3125275962636988,tka,0.9999999264723562,5.180124931764317
228,1,line,0.0011352775264921833,0.5,0.25897373396156065,tka,0.9999999482862837,5.180124931764317
229,1,line,0.0011352775264921833,0.5,0.2145967130064389,tka,0.9999999637719545,5.180124931764317
230,1,line,0.0011352775264921833,0.5,0.17782401531115663,tka,0.9999999747047492,5.180124931764317
231,1,line,0.0011352775264921833,0.5,0.14735258512759064,tka,0.9999999823875289,5.180124931764317
232,1,line,0.0011352775264921833,0.5,0.12210265472743262,tka,0.9999999877654827,5.180124931764317
233,1,line,0.0011352775264921833,0.5,0.1011794823862579,tka,0.9999999915178833,5.180124931764317
234,1,line,0.0011352775264921833,0.5,0.08384164684055041,tka,0.9999999941289466,5.180124931764317
235,1,line,0.0011352775264921833,0.5,0.06947477471865694,tka,0.9999999959417585,5.180124931764317
236,1,line,0.0011352775264921833,0.5,0.05756976996632241,tka,0.9999999971979924,5.180124931764317
237,1,line,0.0011352775264921833,0.5,0.04770477381749972,tka,0.9999999980671751,5.180124931764317
238,1,line,0.0011352775264921833,0.5,0.039530216054538506,tka,0.99999999866777,5.180124931764317
239,1,line,0.0011352775264921833,0.5,0.03275642784297758,tka,0.9999999990823502,5.180124931764317
240,1,line,0.0011352775264921833,0.5,0.027143377196619328,tka,0.9999999993682398,5.180124931764317
241,1,line,0.0011352775264921833,0.5,0.022492163344847247,tka,0.9999999995652622,5.180124931764317
242,1,line,0.0011352775264921833,0.5,0.01863796860157471,tka,0.9999999997009512,5.180124931764317
243,1,line,0.0011352775264921833,0.5,0.01544421798238741,tka,0.9999999997943556,5.180124931764317
244,1,line,0.0011352775264921833,0.5,0.012797739613497689,tka,0.999999999858622,5.180124931764317
245,1,line,0.0011352775264921833,0.5,0.010604754439600964,tka,0.9999999999028211,5.180124931764317
246,1,line,0.0011352775264921833,0.5,0.008787553124273964,tka,0.9999999999332198,5.180124931764317
247,1,line,0.0011352775264921833,0.5,0.007281742387506222,tka,0.9999999999540945,5.180124931764317
248,1,line,0.0011352775264921833,0.5,0.006033963203196644,tka,0.9999999999684716,5.180124931764317
249,1,line,0.0011352775264921833,0.5,0.005,tka,0.9999999999783439,5.180124931764317
250,1,line,0.0011352775264921833,0.5,49.99999999999999,ctka,0.9999108722957178,5.180124931764317
251,1,line,0.0011352775264921833,0.5,41.432138642734216,ctka,0.9999236701834806,5.180124931764317
252,1,line,0.0011352775264921833,0.5,34.33244225021501,ctka,0.9999343889551873,5.180124931764317
253,1,line,0.0011352775264921833,0.5,28.44933014509148,ctka,0.9999433714514994,5.180124931764317
254,1,line,0.0011352775264921833,0.5,23.57433181728697,ctka,0.9999509028575835,5.180124931764317
255,1,line,0.0011352775264921833,0.5,19.534699685273083,ctka,0.9999572210454551,5.180124931764317
256,1,line,0.0011352775264921833,0.5,16.187287714088217,ctka,0.9999625257270148,5.180124931764317
257,1,line,0.0011352775264921833,0.5,13.41347897639863,ctka,0.9999669857436119,5.180124931764317
258,1,line,0.0011352775264921833,0.5,11.114982412630976,ctka,0.9999707436640146,5.180124931764317
