,dataset,dimensions,dof,gamma_init,gamma_method,hsic_value,mi_value,samples,scorer,trial
135,tstudent,3.0,1.0,1.6295908621720976,silverman,0.01989462019303419,0.42574733719103425,50.0,hsic,1.0
136,tstudent,3.0,2.0,1.6295908621720976,silverman,0.019143721213458066,0.2217813392529475,50.0,hsic,1.0
137,tstudent,3.0,3.0,1.6295908621720976,silverman,0.018796878435766964,0.14400324588592878,50.0,hsic,1.0
138,tstudent,3.0,4.0,1.6295908621720976,silverman,0.018532866891161445,0.1047255373808206,50.0,hsic,1.0
139,tstudent,3.0,5.0,1.6295908621720976,silverman,0.01833665207301455,0.08183035260426791,50.0,hsic,1.0
140,tstudent,3.0,6.0,1.6295908621720976,silverman,0.017911333566093958,0.04107528967243782,50.0,hsic,1.0
141,tstudent,3.0,7.0,1.6295908621720976,silverman,0.01777934111455306,0.03062267233800201,50.0,hsic,1.0
142,tstudent,3.0,8.0,1.6295908621720976,silverman,0.017715445340112445,0.026423362377010248,50.0,hsic,1.0
143,tstudent,3.0,9.0,1.6295908621720976,silverman,0.01781694981051412,0.023122293205628922,50.0,hsic,1.0
144,tstudent,3.0,1.0,1.6295908621720976,silverman,0.8127845742750808,0.42574733719103425,50.0,tka,1.0
145,tstudent,3.0,2.0,1.6295908621720976,silverman,0.7127843965794902,0.2217813392529475,50.0,tka,1.0
146,tstudent,3.0,3.0,1.6295908621720976,silverman,0.7326500889419841,0.14400324588592878,50.0,tka,1.0
147,tstudent,3.0,4.0,1.6295908621720976,silverman,0.7093083755971088,0.1047255373808206,50.0,tka,1.0
148,tstudent,3.0,5.0,1.6295908621720976,silverman,0.6907257768840944,0.08183035260426791,50.0,tka,1.0
149,tstudent,3.0,6.0,1.6295908621720976,silverman,0.6479172473677459,0.04107528967243782,50.0,tka,1.0
150,tstudent,3.0,7.0,1.6295908621720976,silverman,0.6345774951621569,0.03062267233800201,50.0,tka,1.0
151,tstudent,3.0,8.0,1.6295908621720976,silverman,0.6282933946112038,0.026423362377010248,50.0,tka,1.0
152,tstudent,3.0,9.0,1.6295908621720976,silverman,0.62487694507695,0.023122293205628922,50.0,tka,1.0
153,tstudent,3.0,1.0,1.6295908621720976,silverman,0.8104564674239245,0.42574733719103425,50.0,ctka,1.0
154,tstudent,3.0,2.0,1.6295908621720976,silverman,0.7033828398690128,0.2217813392529475,50.0,ctka,1.0
155,tstudent,3.0,3.0,1.6295908621720976,silverman,0.7238608375992434,0.14400324588592878,50.0,ctka,1.0
156,tstudent,3.0,4.0,1.6295908621720976,silverman,0.6976789681568113,0.1047255373808206,50.0,ctka,1.0
157,tstudent,3.0,5.0,1.6295908621720976,silverman,0.6762334193854747,0.08183035260426791,50.0,ctka,1.0
158,tstudent,3.0,6.0,1.6295908621720976,silverman,0.6251825248099252,0.04107528967243782,50.0,ctka,1.0
159,tstudent,3.0,7.0,1.6295908621720976,silverman,0.6085601099824846,0.03062267233800201,50.0,ctka,1.0
160,tstudent,3.0,8.0,1.6295908621720976,silverman,0.6004957068197655,0.026423362377010248,50.0,ctka,1.0
161,tstudent,3.0,9.0,1.6295908621720976,silverman,0.5915786292020289,0.023122293205628922,50.0,ctka,1.0
162,tstudent,3.0,1.0,1.6295908621720976,silverman,0.019294073812011682,0.4360886814416727,50.0,hsic,2.0
163,tstudent,3.0,2.0,1.6295908621720976,silverman,0.01906210577754024,0.2321226835035884,50.0,hsic,2.0
164,tstudent,3.0,3.0,1.6295908621720976,silverman,0.01901623098094818,0.1543445901365709,50.0,hsic,2.0
165,tstudent,3.0,4.0,1.6295908621720976,silverman,0.018692866221429516,0.11506688163146149,50.0,hsic,2.0
166,tstudent,3.0,5.0,1.6295908621720976,silverman,0.01847935118070561,0.09217169685490756,50.0,hsic,2.0
167,tstudent,3.0,6.0,1.6295908621720976,silverman,0.018018331898338416,0.05141663392307747,50.0,hsic,2.0
168,tstudent,3.0,7.0,1.6295908621720976,silverman,0.0179106461399511,0.04096401658864166,50.0,hsic,2.0
169,tstudent,3.0,8.0,1.6295908621720976,silverman,0.01783010524206323,0.036764706627651134,50.0,hsic,2.0
170,tstudent,3.0,9.0,1.6295908621720976,silverman,0.017749067525464974,0.033463637456268576,50.0,hsic,2.0
171,tstudent,3.0,1.0,1.6295908621720976,silverman,0.8097397397227089,0.4360886814416727,50.0,tka,2.0
172,tstudent,3.0,2.0,1.6295908621720976,silverman,0.7484693603212316,0.2321226835035884,50.0,tka,2.0
173,tstudent,3.0,3.0,1.6295908621720976,silverman,0.7073660969351003,0.1543445901365709,50.0,tka,2.0
174,tstudent,3.0,4.0,1.6295908621720976,silverman,0.6802664204966806,0.11506688163146149,50.0,tka,2.0
175,tstudent,3.0,5.0,1.6295908621720976,silverman,0.6630411100452173,0.09217169685490756,50.0,tka,2.0
176,tstudent,3.0,6.0,1.6295908621720976,silverman,0.634148654798426,0.05141663392307747,50.0,tka,2.0
177,tstudent,3.0,7.0,1.6295908621720976,silverman,0.630125640145908,0.04096401658864166,50.0,tka,2.0
178,tstudent,3.0,8.0,1.6295908621720976,silverman,0.6263318089499985,0.036764706627651134,50.0,tka,2.0
179,tstudent,3.0,9.0,1.6295908621720976,silverman,0.6224352731452927,0.033463637456268576,50.0,tka,2.0
