,dataset,gamma_init,gamma_method,hsic_value,scale,scorer
2143,circ,5.6619014647787606e-06,median_p0.4,3.3445147605286654e-09,1048.1131341546852,hsic
2144,circ,2.6710578661743892e-06,median_p0.4,1.577572094343314e-09,1526.4179671752302,hsic
2145,circ,1.2598692872038043e-06,median_p0.4,7.440738093862596e-10,2222.996482526191,hsic
2146,circ,5.941738750090843e-07,median_p0.4,3.509193245367951e-10,3237.45754281764,hsic
2147,circ,2.801976176155201e-07,median_p0.4,1.654881372471043e-10,4714.8663634573895,hsic
2148,circ,1.321264575016619e-07,median_p0.4,7.803712430974354e-11,6866.488450042998,hsic
2149,circ,6.2301371773974e-08,median_p0.4,3.6797365446612496e-11,10000.0,hsic
2150,circ,6.626154365876783,median_p0.4,0.6016930530142933,0.0001,tka
2151,circ,6.625530778440726,median_p0.4,0.6017036584100671,0.00014563484775012445,tka
2152,circ,6.624622775268273,median_p0.4,0.6017191035668773,0.00021209508879201905,tka
2153,circ,6.623300740058494,median_p0.4,0.6017415971053839,0.00030888435964774815,tka
2154,circ,6.621376103830264,median_p0.4,0.601774355545476,0.0004498432668969444,tka
2155,circ,6.618574662950645,median_p0.4,0.6018220632475701,0.0006551285568595509,tka
2156,circ,6.614497967739077,median_p0.4,0.6018915422118954,0.0009540954763499944,tka
2157,circ,6.608567612569939,median_p0.4,0.6019927274165926,0.0013894954943731374,tka
2158,circ,6.59994520387426,median_p0.4,0.6021400868359819,0.0020235896477251557,tka
2159,circ,6.587418123735366,median_p0.4,0.6023546881078538,0.0029470517025518097,tka
2160,circ,6.569238025828405,median_p0.4,0.6026672037676001,0.004291934260128779,tka
2161,circ,6.542895784825809,median_p0.4,0.603122272733565,0.0062505519252739694,tka
2162,circ,6.504814795596218,median_p0.4,0.6037848009089586,0.009102981779915217,tka
2163,circ,6.449947485289003,median_p0.4,0.6047489613663817,0.013257113655901081,tka
2164,circ,6.3712748674575534,median_p0.4,0.6061506896662413,0.019306977288832496,tka
2165,circ,6.2592496728960905,median_p0.4,0.6081837258575754,0.02811768697974228,tka
2166,circ,6.101312877338419,median_p0.4,0.611115407652902,0.040949150623804234,tka
2167,circ,5.881780838656417,median_p0.4,0.615283870324466,0.05963623316594643,tka
2168,circ,5.582660856813699,median_p0.4,0.6210129566804061,0.08685113737513521,tka
2169,circ,5.186241105221597,median_p0.4,0.6282792621869728,0.12648552168552957,tka
2170,circ,4.680338476651083,median_p0.4,0.635923303174101,0.18420699693267145,tka
